gaz,liquid_tm,liquid,energy,water,nd,pressure_zad,pressure_buf,d,lin,kvch,сurrent,freq,vol,id
764.0,34.0,35.0,600.2,75.0,2229.8571424484253,11.0,8.0,18.0,8.0,68.0,18.7,48.5,7.079,487
771.0,35.0,34.0,600.3,75.0,2238.1428565979004,11.0,8.0,18.0,8.0,79.27272701263428,18.709090908803045,48.5,6.877,487
775.5,35.5,35.0,619.0,73.0,2246.4285707473755,11.0,8.0,18.0,8.0,90.54545402526855,18.71818181760609,48.5,7.645,487
780.0,36.0,32.0,600.3,94.0,2254.7142848968506,11.0,8.0,18.0,8.0,101.81818103790283,18.727272726409137,48.5,1.553,487
745.0,35.0,32.0,544.5,93.0,2263.0,11.0,8.0,18.0,8.0,113.09090805053711,18.736363635212182,48.5,1.812,487
761.0,35.0,32.0,563.9,92.0,2263.0,11.0,8.0,18.0,8.0,124.36363506317139,18.745454544015228,48.5,2.071,487
776.5,35.0,32.0,563.9,85.0,2263.0,11.0,8.0,18.0,8.0,135.63636207580566,18.754545452818274,48.5,3.883,487
792.0,35.0,32.0,526.4,88.0,2263.0,11.0,8.0,18.0,8.0,146.90908908843994,18.76363636162132,48.5,3.107,487
784.0,35.0,32.0,620.3,97.0,2263.0,11.0,8.0,18.0,8.0,158.18181610107422,18.772727270424365,48.5,0.777,487
780.0,34.0,32.0,589.5,94.0,2263.0,11.0,8.0,18.0,8.0,169.4545431137085,18.78181817922741,48.5,1.553,487
924.0,35.0,32.0,619.0,97.0,2263.0,11.0,8.0,18.0,8.0,180.72727012634277,18.790909088030457,48.5,0.777,487
1068.0,36.0,32.0,619.1,85.0,2263.0,11.0,8.0,18.0,8.0,192.0,18.8,48.5,3.883,487
763.0,35.0,34.0,600.2,85.0,2263.0,11.076923079788685,8.076923079788685,18.0,8.0,192.0,18.8,48.5,4.126,487
752.0,35.0,33.0,600.3,85.0,2263.0,11.15384615957737,8.15384615957737,18.0,8.0,192.0,18.8,48.5,4.005,487
747.666666507721,35.0,33.0,600.2,85.0,2263.0,11.230769239366055,8.230769239366055,18.0,8.0,192.0,18.8,48.5,4.005,487
743.3333330154419,35.0,33.0,581.5,85.0,2263.0,11.30769231915474,8.30769231915474,18.0,8.0,192.0,18.8,48.5,4.005,487
739.0,35.0,30.0,600.2,87.0,2263.0,11.384615398943424,8.384615398943424,18.0,8.0,192.0,18.8,48.5,3.155,487
753.0,35.0,34.0,562.7,86.0,2263.0,11.461538478732109,8.461538478732109,18.0,8.0,192.0,18.8,48.5,3.851,487
738.0,35.0,34.0,675.3,86.0,2263.0,11.538461558520794,8.538461558520794,18.0,8.0,192.0,18.8,48.5,3.851,487
747.3333330154419,35.0,33.0,637.8,83.0,2263.0,11.615384638309479,8.615384638309479,18.0,8.0,192.0,18.8,48.5,4.538,487
756.6666660308838,35.0,34.0,337.6,83.0,2263.0,11.692307718098164,8.692307718098164,18.0,8.0,192.0,18.8,48.5,4.676,487
766.0,35.0,32.0,337.6,83.0,2263.0,11.769230797886848,8.769230797886848,18.0,8.0,192.0,18.8,48.5,4.401,487
736.0,34.0,32.0,439.8,83.0,2269.666666507721,11.846153877675533,8.846153877675533,18.0,8.0,192.0,18.699999998509885,48.5,4.401,487
736.0,33.0,31.0,471.6,83.0,2276.333333015442,11.923076957464218,8.923076957464218,18.0,8.0,192.0,18.59999999701977,48.5,4.263,487
819.0,34.0,31.0,503.7,83.0,2283.0,12.0,9.0,18.0,8.0,192.0,18.499999995529652,48.5,4.263,487
767.0,35.0,31.0,482.0,83.0,2283.0,12.0,9.0,18.0,8.0,192.0,18.399999994039536,48.5,4.263,487
767.75,35.0,33.0,466.3,83.0,2283.0,12.0,9.0,18.0,8.0,192.0,18.3,48.5,4.538,487
768.5,35.0,32.0,470.9,83.0,2283.0,12.0,9.0,18.0,8.0,178.76923084259033,18.333333335071803,48.5,4.401,487
769.25,35.0,33.0,465.4,83.0,2283.0,12.0,9.0,18.0,8.0,165.53846168518066,18.366666670143605,48.5,4.538,487
770.0,35.0,35.0,344.1,78.0,2283.0,12.0,9.0,18.0,8.0,152.307692527771,18.400000005215407,48.5,6.229,487
763.0,34.0,32.0,320.0,83.0,2283.0,12.0,9.0,18.0,8.0,139.07692337036133,18.43333334028721,48.5,4.401,487
884.5,35.0,31.0,306.2,83.0,2283.0,12.0,9.0,18.0,8.0,125.84615421295166,18.46666667535901,48.5,4.263,487
1006.0,36.0,31.0,306.8,83.0,2283.0,12.0,9.0,18.0,8.0,112.61538505554199,18.5,48.5,4.263,487
778.0,34.0,33.0,288.4,83.0,2283.0,12.0,9.0,18.0,8.0,99.38461589813232,18.399999998509884,48.5,4.538,487
775.0,33.0,32.0,346.3,83.0,2281.75,11.875,8.875,18.0,7.875,86.15384674072266,18.299999997019768,48.5,4.401,487
784.0,32.0,31.0,442.0,83.0,2280.5,11.75,8.75,18.0,7.75,72.92307758331299,18.19999999552965,48.5,4.263,487
752.0,34.0,30.0,447.6,83.0,2279.25,11.625,8.625,18.0,7.625,59.69230842590332,18.099999994039536,48.5,4.126,487
800.0,34.0,32.0,494.3,83.0,2278.0,11.5,8.5,18.0,7.5,46.46153926849365,17.99999999254942,48.5,4.401,487
791.25,34.0,31.0,462.9,83.0,2276.75,11.375,8.375,18.0,7.375,33.230770111083984,17.899999991059303,48.5,4.263,487
782.5,34.0,32.0,437.6,83.0,2275.5,11.25,8.25,18.0,7.25,20.0,17.8,48.5,4.401,487
773.75,34.0,34.0,454.7,69.0,2274.25,11.125,8.125,18.0,7.125,20.0,17.833333335071803,48.5,8.527,487
765.0,34.0,34.0,367.8,69.0,2273.0,11.0,8.0,18.0,7.0,20.0,17.866666670143605,48.5,8.527,487
723.0,34.0,32.0,333.5,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,17.900000005215407,48.5,4.401,487
709.5,33.5,31.0,319.8,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,17.93333334028721,48.5,4.263,487
696.0,33.0,31.0,279.9,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,17.96666667535901,48.5,4.263,487
743.0,34.0,29.0,283.1,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.988,487
720.5,33.5,32.0,342.9,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.401,487
698.0,33.0,31.0,457.1,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.263,487
716.5,33.0,31.0,484.7,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.263,487
735.0,33.0,29.0,450.9,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.988,487
